"ObsTime","StnPres","SeaPres","Temperature","Tddewpoint","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb"
"1","1017.7 ","1021.3 ","22.1 ","18.7 ","81 ","3.0 ","70.0 ","8.6 ","40.0 ","0.0 ","0.0 "," ","0.00 "," "
"2","1017.2 ","1020.8 ","22.1 ","18.5 ","80 ","3.0 ","80.0 ","8.8 ","40.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"3","1016.8 ","1020.4 ","22.2 ","17.9 ","77 ","2.7 ","80.0 ","9.2 ","80.0 ","0.0 ","0.0 "," ","0.00 "," "
"4","1016.8 ","1020.4 ","22.1 ","17.7 ","76 ","3.0 ","60.0 ","8.5 ","80.0 ","0.0 ","0.0 "," ","0.00 "," "
"5","1016.6 ","1020.2 ","22.1 ","17.5 ","75 ","2.1 ","110.0 ","6.9 ","70.0 ","0.0 ","0.0 "," ","0.00 ","10.0 "
"6","1017.2 ","1020.8 ","22.1 ","17.7 ","76 ","2.0 ","100.0 ","4.7 ","80.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"7","1017.6 ","1021.2 ","22.4 ","18.1 ","77 ","1.6 ","120.0 ","4.2 ","110.0 ","0.0 ","0.0 ","0.0 ","0.00 "," "
"8","1018.0 ","1021.6 ","22.7 ","18.6 ","78 ","2.5 ","90.0 ","4.8 ","40.0 ","0.0 ","0.0 ","0.0 ","0.00 ","20.0 "
"9","1018.3 ","1021.9 ","23.6 ","19.3 ","77 ","2.4 ","70.0 ","6.5 ","80.0 ","0.0 ","0.0 ","0.0 ","0.82 ","18.0 "
"10","1017.8 ","1021.4 ","24.1 ","20.0 ","78 ","3.2 ","40.0 ","7.1 ","50.0 ","0.0 ","0.0 ","0.0 ","1.10 "," "
"11","1017.3 ","1020.9 ","23.6 ","19.5 ","78 ","4.8 ","60.0 ","9.8 ","60.0 ","0.0 ","0.0 ","0.1 ","1.67 ","18.0 "
"12","1016.6 ","1020.1 ","24.2 ","19.7 ","76 ","3.6 ","50.0 ","10.1 ","60.0 ","0.0 ","0.0 ","0.0 ","1.43 "," "
"13","1016.2 ","1019.8 ","23.6 ","19.3 ","77 ","3.5 ","50.0 ","11.3 ","40.0 ","0.0 ","0.0 ","0.0 ","0.66 "," "
"14","1015.7 ","1019.3 ","23.2 ","19.0 ","77 ","5.3 ","60.0 ","10.3 ","40.0 ","T ","0.5 ","0.0 ","0.45 ","18.0 "
"15","1016.0 ","1019.6 ","23.2 ","19.3 ","79 ","4.2 ","60.0 ","10.2 ","50.0 ","0.1 ","0.3 ","0.0 ","0.63 "," "
"16","1016.2 ","1019.8 ","23.1 ","19.2 ","79 ","3.5 ","50.0 ","9.1 ","70.0 ","0.0 ","0.0 ","0.0 ","0.37 "," "
"17","1016.5 ","1020.1 ","22.0 ","18.8 ","82 ","3.7 ","50.0 ","8.6 ","50.0 ","0.3 ","0.4 ","0.0 ","0.00 ","12.0 "
"18","1016.7 ","1020.3 ","21.7 ","19.3 ","86 ","3.0 ","80.0 ","8.0 ","50.0 ","0.2 ","1.0 ","0.0 ","0.00 "," "
"19","1017.1 ","1020.7 ","21.5 ","19.1 ","86 ","3.1 ","50.0 ","7.1 ","40.0 ","0.5 ","1.0 ","0.0 ","0.00 "," "
"20","1017.4 ","1021.0 ","21.6 ","19.3 ","87 ","2.8 ","60.0 ","8.4 ","60.0 ","0.1 ","1.0 "," ","0.00 ","11.0 "
"21","1017.4 ","1021.0 ","21.6 ","19.5 ","88 ","2.6 ","80.0 ","7.4 ","60.0 ","T ","1.0 "," ","0.00 ","11.0 "
"22","1017.4 ","1021.0 ","21.8 ","19.6 ","87 ","2.9 ","60.0 ","8.3 ","60.0 ","T ","0.1 "," ","0.00 "," "
"23","1016.9 ","1020.5 ","21.8 ","19.6 ","87 ","2.7 ","70.0 ","6.3 ","60.0 ","0.0 ","0.0 "," ","0.00 ","12.0 "
"24","1016.6 ","1020.2 ","22.0 ","19.6 ","86 ","3.2 ","50.0 ","7.5 ","50.0 ","0.0 ","0.0 "," ","0.00 "," "
